question,target_name,predicted_option,evidence_span,image_path
حبیب‌الله بلور در کدام رشته ورزشی فعالیت داشت؟,حبیب‌الله بلور,کشتی,حبیب‌الله بلور، ورزشکار کشتی، در تاریخ ۵ فروردین ۱۲۹۲ در تهران متولد شده است، در تاریخ ۲۳ فروردین ۱۳۶۱ درگذشته است.,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\685_حبیبالله_بلور_image.jpg
بهرنگ صفری در چه سالی متولد شده است؟,بهرنگ صفری,۱۳۶۳,بهرنگ صفری، ورزشکار فوتبال، در تاریخ ۲۰ بهمن ۱۳۶۳(سن:۴۰ سال) در تهران،ایران متولد شده است، قد ایشان ۱٫۸۴ متر است.,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\522_بهرنگ_صفری_image.jpg
عبدالله موحد چند مدال جهانی کسب کرده است؟,عبدالله موحد,۵,او ۵ مدال جهانی، ۲ مدال منطقه‌ای، و یک مدال المپیک کسب کرده است.,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1464_عبدالله_موحد__value.jpg
لوون کورکچیان مدال طلای خود را در کدام رقابت کسب کرده است؟,لوون کورکچیان,بازی‌های آسیایی ۱۹۵۱ دهلی نو,افتخار مدال طلا بازی‌های آسیایی ۱۹۵۱ دهلی نو را کسب کرده است.,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1885_لوون_کورکچیان_image.jpg
علیرضا حقی در چه ماهی متولد شده است؟,علیرضا حقی,فوریهٔ ۱۹۷۹,علیرضا حقی، ورزشکار دوچرخه‌سواری، در تاریخ ۸ فوریهٔ ۱۹۷۹ ( در ۴۶ سال) متولد شده است,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1622_علیرضا_حقی_image.jpg
زوونیمیر سولدو در کدام کشور متولد شده است؟,زوونیمیر سولدو,کرواسی,زوونیمیر سولدو، ورزشکار فوتبال، در تاریخ ۲ نوامبر ۱۹۶۷ (۵۷ سال) متولد شده است,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1068_زوونیمیر_سولدو_image.jpg
محراب شاهرخی در چه سالی درگذشته است؟,محراب شاهرخی,۱۳۷۱,در تاریخ ۱۲ بهمن ۱۳۷۱ درگذشته است,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1998_محراب_شاهرخی_image.jpg
وزن محمد جمشیدی چند کیلوگرم است؟,محمد جمشیدی,۸۰,وزن ایشان ۸۰ کیلوگرم (۱۷۶ پوند) است.,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\2065_محمد_جمشیدی_image.jpg
مجتبی گلیج در کدام شهر متولد شده است؟,مجتبی گلیج,تنکابن,مجتبی گلیج، ورزشکار کشتی، در تاریخ ۳ بهمن ۱۳۷۵ (۲۸ سال) در تنکابن متولد شده است,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1970_مجتبی_گلیج_image.jpg
قد ایمان موسوی چند است؟,ایمان موسوی,۱/۸۴,قد ایشان ۱/۸۴ است,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\449_ایمان_موسوی_image.jpg
الهام فلاح در چه رشته‌ای فعالیت دارد؟,الهام فلاح,والیبال,الهام فلاح، ورزشکار والیبال، در تاریخ ۲۵ فروردین ۱۳۷۳ (۳۱ سال)شیراز در تیم ملی بزرگسالان ایران متولد شده است,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\271_الهام_فلاح_image.jpg
ناصر حجازی در کدام تیم ها بازی کرده است؟,ناصر حجازی,استقلال و منچستر یونایتد,در تیم‌های نادر تهران، تاج، شهباز، استقلال، محمدان و منچستر یونایتد بازی کرده است.,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\2669_ناصر_حجازی_crawled.jpg
امیرعلی صادقی در کدام تیم‌ها بازی کرده است؟,امیرعلی صادقی,سایپا و استقلال,او با شماره ۹۹ برای استقلال بازی می‌کند,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\376_امیرعلی_صادقی__value.jpg
مهتاب رحمانی ورزشکار کدام رشته است؟,مهتاب رحمانی,والیبال,مهتاب رحمانی، ورزشکار والیبال، در تاریخ ۳ شهریور ۱۳۷۱ (۳۲ سال)کرمانشاه در تیم ملی بزرگسالان ایران متولد شده است،,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\2442_مهتاب_رحمانی_image.jpg
بهتاش فریبا در چه شهری متولد شده است؟,بهتاش فریبا,تهران,بهتاش فریبا، ورزشکار فوتبال، در تاریخ ۲۲ بهمن ۱۳۳۴ (۶۹ سال) در تهران،ایران متولد شده است.,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\510_بهتاش_فریبا_crawled.jpg
صمد پورسیدی در چه رشته‌ای فعالیت دارد؟,صمد پورسیدی,دوچرخه‌سواری,صمد پورسیدی، ورزشکار دوچرخه‌سواری، در تاریخ ۲۳ مهر ۱۳۶۴ (سن: در ۳۹ سال) متولد شده است.,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1413_صمد_پورسیدی_image.jpg
عبدالواحد خنجی در کدام شهر و کشور متولد شده است؟,عبدالواحد خنجی,منامه بحرین,عبدالواحد خنجی، ورزشکار دوچرخه‌سواری، در تاریخ ۱۷ بهمن ۱۳۰۷ در منامه متولد شده است,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1470_عبدالواحد_خنجی_image.jpg
بیژن طاهری بازیکن کدام رشته است؟,بیژن طاهری,فوتبال,بیژن طاهری، ورزشکار فوتبال، در تاریخ ۱ فروردین ۱۳۴۰ (سن:۶۴ سال) در تهران،ایران متولد شده است.,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\566_بیژن_طاهری_image.jpg
علی مرادی در چه رشته‌ای ورزشکار است؟,علی مرادی,وزنه‌برداری,علی مرادی، متولد ۱۳۴۱ در ایران، فعال در حوزه وزنه‌برداری است,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1575_علی_مرادی_crawled.jpg
رضا علی‌پور ورزشکار کدام رشته است؟,رضا علی‌پور,سنگ‌نوردی,رضا علی‌پور، ورزشکار سنگ‌نورد، در تاریخ ۹ اردیبهشت ۱۳۷۳ ( در ۳۱ سال) متولد شده است.,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\988_رضا_علیپور_image.jpg
وحید گل‌خندان در جام جهانی ریودوژانیرو ۲۰۲۲ کدام مدال را کسب کرده است؟,وحید گل‌خندان,نقره,مدال نقره جام جهانی ریودوژانیرو ۲۰۲۲,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\2841_وحید_گلخندان_image.jpg
وحید سرلک در چه رشته‌ای شناخته می‌شود؟,وحید سرلک,رزمی,وحید سرلک، ورزشکار رزمی، در تاریخ ۳۰ دی ۱۳۵۹ در ایران متولد شده است.,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\2830_وحید_سرلک_image.jpg
یوسف وکیا بازیکن کدام تیم‌ها بوده است؟,یوسف وکیا,فولاد و نفت مسجدسلیمان,در تیم‌های فولاد، نفت مسجدسلیمان، گل‌گهر، پدیده، خیبر خرم‌آباد، فجر سپاسی، صنعت نفت آبادان و بعثت کرمانشاه بازی کرده است.,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\3070_یوسف_وکیا_image.jpg
هاروتیون آبراهامیان اهل کدام کشور است؟,هاروتیون آبراهامیان,ارمنستان,هاروتیون آبراهامیان، ورزشکار فوتبال، در تاریخ ۴ دسامبر ۱۹۶۹ (۵۵ سال) در ایروان،ارمنستان متولد شده است,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\2774_هاروتیون_آبراهامیان_image.jpg
جمشید نصیری در کدام شهر ایران متولد شده است؟,جمشید نصیری,خرمشهر,"جمشید نصیری، ورزشکار فوتبال، در تاریخ ۲۳ فوریهٔ ۱۹۵۹ (۶۶ سال) در بندر خرمشهر,ایران متولد شده است",C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\636_جمشید_نصیری_image.jpg
رضا افتخاری در کدام رشته ورزشی شناخته می‌شود؟,رضا افتخاری,فوتبال,رضا افتخاری، ورزشکار فوتبال.,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\963_رضا_افتخاری_image.jpg
پوریا امینی در چه استانی متولد شده است؟,پوریا امینی,گیلانغرب,پوریا امینی، ورزشکار فوتبال، در تاریخ ۸ اسفند ۱۳۷۳ (۳۰ سال) در گیلانغرب،ایران متولد شده است،,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\2902_پوریا_امینی_crawled.jpg
حسن حبیبی در کدام شهر متولد شده است؟,حسن حبیبی,کرمان,حسن حبیبی، ورزشکار فوتبال، در تاریخ ۱۸ بهمن ۱۳۱۸ (۸۵ سال) در کرمان،ایران متولد شده است.,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\700_حسن_حبیبی_image.jpg
زینب گیوه بازیکن والیبال ایرانی در کدام پست فعالیت می‌کند؟,زینب گیوه,دریافت‌کننده قدرتی,در پست دریافت‌کننده قدرتی فعالیت می‌کند.,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1076_زینب_گیوه__value.jpg
حسین مهربان بازیکن کدام تیم‌ها بوده است؟,حسین مهربان,پدیده و فجر سپاسی,در تیم‌های پدیده، فجر سپاسی، مس رفسنجان و هوادار بازی کرده است.,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\778_حسین_مهربان_image.jpg
علی پاکدامن در جام جهانی گرجستان ۲۰۲۴ کدام مدال را کسب کرده است؟,علی پاکدامن,نقره,مدال نقره جام جهانی گرجستان ۲۰۲۴ را کسب کرده است.,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1596_علی_پاکدامن_image.jpg
الهام حسینی در چه رشته‌ای فعالیت دارد؟,الهام حسینی,وزنه‌برداری,الهام حسینی، ورزشکار وزنه‌برداری، در تاریخ ۱۶ سپتامبر ۱۹۸۸ ( در ۳۶ سال) متولد شده است، وزن ایشان ۸۷ کیلوگرم (۱۹۲ پوند) است.,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\268_الهام_حسینی_image.jpg
رضا مؤمنی در کدام شهر متولد شده است؟,رضا مؤمنی,قائمشهر,در تاریخ قائمشهر در ، متولد شده است.,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\996_رضا_مؤمنی_crawled.jpg
رضا نوروزی در چه شهری متولد شده است؟,رضا نوروزی,ایذه,در تاریخ ۳۰ شهریور ۱۳۶۱ (۴۲ سال) در ایذه،ایران متولد شده است,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1004_رضا_نوروزی_image.jpg
مجید ترکان ورزشکار کدام رشته است؟,مجید ترکان,کشتی,مجید ترکان، ورزشکار کشتی، در تاریخ ۲۱ آذر ۱۳۴۴ ( در ۶۰ سال) متولد شده است,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1974_مجید_ترکان_image.jpg
ایوان مارکوویچ هافبک ذوب‌آهن در فوتبال فعالیت خود را با چه تیمی آغاز کرد؟,ایوان مارکوویچ,ستاره سرخ بلگراد,مارکوویچ فعالیت خود را از سال ۲۰۰۳ با ستاره سرخ بلگراد آغاز کرد,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\453_ایوان_مارکوویچ__value.jpg
گلنوش خسروی در کدام شهر به متولد شده است؟,گلنوش خسروی,اصفهان,گلنوش خسروی، ورزشکار فوتبال، در تاریخ ۱۲ می ۲۰۰۱۲۲ اردیبهشت ۱۳۸۰ (۲۴ سال) در اصفهان،ایران متولد شده است,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\3043_گلنوش_خسروی_image.jpg
فرنوش شیخی در کدام رشته ورزشی فعالیت دارد؟,فرنوش شیخی,والیبال,فرنوش شیخی، ورزشکار والیبال، در تاریخ ۲۳ اردیبهشت ۱۳۶۹۱۳ مهٔ ۱۹۹۰ (۳۴ سال) در ایران متولد شده است,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1802_فرنوش_شیخی_image.jpg
سارا شیربیگی ورزشکار کدام رشته است؟,سارا شیربیگی,فوتسال,سارا شیربیگی، ورزشکار فوتسال، در تاریخ ۱۵ مرداد ۱۳۷۰ در فوتسال زنان ایران متولد شده است، در تیم‌های سپیدرود رشت و نصرفردیس بازی کرده است.,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1083_سارا_شیربیگی_image.jpg
هاجر صفرزاده در کدام رقابت مدال گرفته است؟,هاجر صفرزاده,پارالمپیک پاریس ۲۰۲۴,مدال نقره بازی‌های پارالمپیک پاریس ۲۰۲۴,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\2750_هاجر_صفرزاده_image.jpg
مهدی تیکدری سالاری در کدام رشته فعال است؟,مهدی تیکدری,فوتبال,مهدی تیکدری، ورزشکار فوتبال، در تاریخ ۲۳ تیر ۱۳۷۵ (۲۸ سال) در کرمان،ایران متولد شده است,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\2461_مهدی_تیکدری_image.jpg
شجاع خلیل‌زاده در کدام تیم‌ها بازی کرده است؟,شجاع خلیل‌زاده,پرسپولیس و الریان,شجاع خلیل‌زاده... در تیم‌های مس رفسنجان، مس کرمان، سپاهان، ←تراکتور(قرضی)، پرسپولیس، الریان، الاهلی قطر و تراکتور بازی کرده است.,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1345_شجاع_خلیلزاده_image.jpg
مهدی خدابخشی در چه رشته‌ای فعالیت دارد؟,مهدی خدابخشی,رزمی,مهدی خدابخشی، ورزشکار رزمی، در تاریخ ۱۰ اردیبهشت ۱۳۷۴ در اسلام آباد غرب متولد شده است,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\2470_مهدی_خدابخشی_image.jpg
علی دایی در کدام تیم‌های اروپایی بازی کرده است؟,علی دایی,بایرن مونیخ و هرتابرلین,در تیم‌های استقلال اردبیل، تاکسیرانی، بانک تجارت، پرسپولیس، السد، آرمینیا بیله‌فلد، بایرن مونیخ، هرتابرلین، الشباب، پرسپولیس، صباباتری و سایپا بازی کرده است.,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1535_علی_دایی_image.jpg
عباس زندی در کدام رشته ورزشی مدال‌های متعددی کسب کرده است؟,عباس زندی,کشتی,عباس زندی، متولد ۱۳۱۰ در سنگلج، تهران، ایران، ورزشکار کشتی آزاد و پهلوانی,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1446_عباس_زندی__value.jpg
عزت‌الله اکبری در چه سالی متولد شده است؟,عزت‌الله اکبری,۱۳۷۱,عزت‌الله اکبری، متولد ۲۰ آبان ۱۳۷۱ در جویبار، مازندران، ایران,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1482_عزتالله_اکبری__value.jpg
قد میربابک موسوی، ورزشکار والیبال چند است؟,میربابک موسوی,۱٫۹۴,قد ایشان ۱٫۹۴ m (۶ ft۴۱⁄۲in) است,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\2610_میربابک_موسوی_image.jpg
کریم انصاری‌فرد در کدام کشور متولد شده است؟,کریم انصاری‌فرد,ایران,کریم انصاری‌فرد، ورزشکار فوتبال، در تاریخ ۱۴ فروردین ۱۳۶۹ (۳۵ سال) در اردبیل،ایران متولد شده است,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\2990_کریم_انصاریفرد_image.jpg
