question,gold_answer,pred_answer,pred_score,is_correct,hit_at_3,top3_options,top3_scores,top3_names,top1_catalog_idx,top1_name
حبیب‌الله بلور در کدام رشته ورزشی فعالیت داشت؟,کشتی,کشتی,1.75,1,1,"[""کشتی"", ""فوتبال"", ""وزنه‌برداری""]","[1.75, 0.533333, 0.0]","[""حبیب‌الله بلور"", ""ایمان انصاری"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد""]",685,حبیب‌الله بلور
بهرنگ صفری در چه سالی متولد شده است؟,۱۳۶۳,۱۳۶۳,1.0,1,1,"[""۱۳۶۳"", ""۱۳۵۹"", ""۱۳۷۱""]","[1.0, 0.0, 0.0]","[""بهرنگ صفری"", ""مصطفی مکری"", ""ایمان انصاری""]",522,بهرنگ صفری
عبدالله موحد چند مدال جهانی کسب کرده است؟,۵,۲,1.7,0,1,"[""۲"", ""۳"", ""۵""]","[1.7, 1.533333, 1.333333]","[""عبدالله موحد"", ""جلیل ایمری"", ""سید مهدی سیدصالحی""]",1464,عبدالله موحد
لوون کورکچیان مدال طلای خود را در کدام رقابت کسب کرده است؟,بازی‌های آسیایی ۱۹۵۱ دهلی نو,بازی‌های آسیایی ۱۹۵۱ دهلی نو,1.0,1,1,"[""بازی‌های آسیایی ۱۹۵۱ دهلی نو"", ""المپیک ۱۹۵۲ هلسینکی"", ""قهرمانی جهان ۱۹۵۴""]","[1.0, 0.0, 0.0]","[""لوون کورکچیان"", ""ایمان انصاری"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد""]",1885,لوون کورکچیان
علیرضا حقی در چه ماهی متولد شده است؟,فوریهٔ ۱۹۷۹,فوریهٔ ۱۹۷۹,1.0,1,1,"[""فوریهٔ ۱۹۷۹"", ""مارس ۱۹۸۲"", ""ژانویه ۱۹۸۸""]","[1.0, 0.0, 0.0]","[""علیرضا حقی"", ""ایمان انصاری"", ""مصطفی مکری""]",1622,علیرضا حقی
زوونیمیر سولدو در کدام کشور متولد شده است؟,کرواسی,ایران,0.5833333333333333,0,1,"[""ایران"", ""کرواسی"", ""آلمان""]","[0.583333, 0.0, 0.0]","[""زوونیمیر سولدو"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد"", ""علیرضا لرستانی""]",1068,زوونیمیر سولدو
محراب شاهرخی در چه سالی درگذشته است؟,۱۳۷۱,۱۳۷۱,1.0,1,1,"[""۱۳۷۱"", ""۱۳۸۳"", ""۱۴۰۰""]","[1.0, 0.333333, 0.0]","[""محراب شاهرخی"", ""ایمان انصاری"", ""مصطفی مکری""]",1998,محراب شاهرخی
وزن محمد جمشیدی چند کیلوگرم است؟,۸۰,۸۰,1.0,1,1,"[""۸۰"", ""۷۰"", ""۱۰۰""]","[1.0, 0.0, 0.0]","[""محمد جمشیدی "", ""صادق گودرزی"", ""شجاع خلیل‌زاده""]",2065,محمد جمشیدی 
مجتبی گلیج در کدام شهر متولد شده است؟,تنکابن,تنکابن,1.0,1,1,"[""تنکابن"", ""تهران"", ""رشت""]","[1.0, 0.533333, 0.0]","[""مجتبی گلیج"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد"", ""مصطفی مکری""]",1970,مجتبی گلیج
قد ایمان موسوی چند است؟,۱/۸۴,۱/۸۴,1.0,1,1,"[""۱/۸۴"", ""۱/۶۵"", ""۱/۹۴""]","[1.0, 0.0, 0.0]","[""ایمان موسوی"", ""جواد الله‌وردی"", ""علی ایمانی ""]",449,ایمان موسوی
الهام فلاح در چه رشته‌ای فعالیت دارد؟,والیبال,والیبال,1.0,1,1,"[""والیبال"", ""فوتبال"", ""کاراته""]","[1.0, 0.533333, 0.0]","[""الهام فلاح"", ""ایمان انصاری"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد""]",271,الهام فلاح
ناصر حجازی در کدام تیم ها بازی کرده است؟,استقلال و منچستر یونایتد,استقلال و منچستر یونایتد,0.0,1,1,"[""استقلال و منچستر یونایتد"", ""سپاهان و رئال مادرید"", ""پاس و بارسلونا""]","[0.0, 0.0, 0.0]","[""ناصر حجازی"", ""ایمان انصاری"", ""علیرضا لرستانی""]",2669,ناصر حجازی
امیرعلی صادقی در کدام تیم‌ها بازی کرده است؟,سایپا و استقلال,پرسپولیس و سپاهان,0.0,0,1,"[""پرسپولیس و سپاهان"", ""سایپا و استقلال"", ""ذوب‌آهن و تراکتور""]","[0.0, 0.0, 0.0]","[""امیرعلی صادقی"", ""اکبر صادقی "", ""باشگاه فوتبال زنان شهرداری سیرجان""]",376,امیرعلی صادقی
مهتاب رحمانی ورزشکار کدام رشته است؟,والیبال,والیبال,1.0,1,1,"[""والیبال"", ""کشتی"", ""کاراته""]","[1.0, 0.25, 0.0]","[""مهتاب رحمانی"", ""محمدحسین جعفری"", ""بختیار رحمانی""]",2442,مهتاب رحمانی
بهتاش فریبا در چه شهری متولد شده است؟,تهران,تهران,1.7833333333333332,1,1,"[""تهران"", ""تبریز"", ""اصفهان""]","[1.783333, 0.0, 0.0]","[""بهتاش فریبا"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد"", ""مصطفی مکری""]",510,بهتاش فریبا
صمد پورسیدی در چه رشته‌ای فعالیت دارد؟,دوچرخه‌سواری,دوچرخه‌سواری,1.0,1,1,"[""دوچرخه‌سواری"", ""کشتی"", ""والیبال""]","[1.0, 0.75, 0.333333]","[""صمد پورسیدی"", ""صادق گودرزی"", ""جلیل ایمری""]",1413,صمد پورسیدی
عبدالواحد خنجی در کدام شهر و کشور متولد شده است؟,منامه بحرین,سیستان و بلوچستان ایران,0.0,0,1,"[""سیستان و بلوچستان ایران"", ""منامه بحرین"", ""بغداد عراق""]","[0.0, 0.0, 0.0]","[""عبدالواحد خنجی"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد"", ""مصطفی مکری""]",1470,عبدالواحد خنجی
بیژن طاهری بازیکن کدام رشته است؟,فوتبال,فوتبال,1.8333333333333333,1,1,"[""فوتبال"", ""کشتی"", ""والیبال""]","[1.833333, 0.45, 0.0]","[""بیژن طاهری"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد"", ""مصطفی مکری""]",566,بیژن طاهری
علی مرادی در چه رشته‌ای ورزشکار است؟,وزنه‌برداری,وزنه‌برداری,0.5,1,1,"[""وزنه‌برداری"", ""کشتی"", ""والیبال""]","[0.5, 0.45, 0.0]","[""امیر مرادی"", ""علی مرادی "", ""نادر مرادی""]",334,امیر مرادی
رضا علی‌پور ورزشکار کدام رشته است؟,سنگ‌نوردی,کشتی,0.75,0,0,"[""کشتی"", ""قایقرانی"", ""کاراته""]","[0.75, 0.0, 0.0]","[""رضا علی‌پور"", ""ایمان انصاری"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد""]",988,رضا علی‌پور
وحید گل‌خندان در جام جهانی ریودوژانیرو ۲۰۲۲ کدام مدال را کسب کرده است؟,نقره,نقره,1.25,1,1,"[""نقره"", ""برنز"", ""طلا""]","[1.25, 1.25, 0.0]","[""وحید گل‌خندان"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد"", ""ایمان انصاری""]",2841,وحید گل‌خندان
وحید سرلک در چه رشته‌ای شناخته می‌شود؟,رزمی,رزمی,1.0,1,1,"[""رزمی"", ""فوتبال"", ""کشتی""]","[1.0, 0.783333, 0.5]","[""وحید سرلک"", ""ایمان انصاری"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد""]",2830,وحید سرلک
یوسف وکیا بازیکن کدام تیم‌ها بوده است؟,فولاد و نفت مسجدسلیمان,فولاد و نفت مسجدسلیمان,0.0,1,1,"[""فولاد و نفت مسجدسلیمان"", ""استقلال و پرسپولیس"", ""سپاهان و تراکتور""]","[0.0, 0.0, 0.0]","[""یوسف وکیا"", ""ایمان انصاری"", ""محمدحسین جعفری""]",3070,یوسف وکیا
هاروتیون آبراهامیان اهل کدام کشور است؟,ارمنستان,ارمنستان,1.0,1,1,"[""ارمنستان"", ""ایران"", ""ترکیه""]","[1.0, 0.45, 0.0]","[""هاروتیون آبراهامیان"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد"", ""باشگاه فوتبال زنان همیاری ارومیه""]",2774,هاروتیون آبراهامیان
جمشید نصیری در کدام شهر ایران متولد شده است؟,خرمشهر,خرمشهر,1.0,1,1,"[""خرمشهر"", ""تهران"", ""مشهد""]","[1.0, 0.333333, 0.0]","[""جمشید نصیری"", ""ولی اکبر"", ""مصطفی مکری""]",636,جمشید نصیری
رضا افتخاری در کدام رشته ورزشی شناخته می‌شود؟,فوتبال,فوتبال,2.083333333333333,1,1,"[""فوتبال"", ""کشتی"", ""والیبال""]","[2.083333, 0.2, 0.0]","[""رضا افتخاری"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد"", ""مصطفی مکری""]",963,رضا افتخاری
پوریا امینی در چه استانی متولد شده است؟,گیلانغرب,تهران,1.0333333333333332,0,1,"[""تهران"", ""گیلانغرب"", ""مشهد""]","[1.033333, 1.0, 0.0]","[""پوریا امینی"", ""ایمان انصاری"", ""فاطمه امینی ""]",2902,پوریا امینی
حسن حبیبی در کدام شهر متولد شده است؟,کرمان,کرمان,1.0,1,1,"[""کرمان"", ""شیراز"", ""تبریز""]","[1.0, 0.0, 0.0]","[""حسن حبیبی "", ""مصطفی مکری"", ""جواد الله‌وردی""]",700,حسن حبیبی 
زینب گیوه بازیکن والیبال ایرانی در کدام پست فعالیت می‌کند؟,دریافت‌کننده قدرتی,دریافت‌کننده قدرتی,1.0,1,1,"[""دریافت‌کننده قدرتی"", ""پاسور"", ""لیبرو""]","[1.0, 0.0, 0.0]","[""زینب گیوه"", ""ایمان انصاری"", ""علیرضا لرستانی""]",1076,زینب گیوه
حسین مهربان بازیکن کدام تیم‌ها بوده است؟,پدیده و فجر سپاسی,پدیده و فجر سپاسی,0.0,1,1,"[""پدیده و فجر سپاسی"", ""سپاهان و تراکتور"", ""استقلال و پرسپولیس""]","[0.0, 0.0, 0.0]","[""حسین مهربان"", ""ایمان انصاری"", ""حسین ابوذری""]",778,حسین مهربان
علی پاکدامن در جام جهانی گرجستان ۲۰۲۴ کدام مدال را کسب کرده است؟,نقره,برنز,1.75,0,1,"[""برنز"", ""نقره"", ""طلا""]","[1.75, 1.5, 1.25]","[""علی پاکدامن"", ""حسین ابوذری"", ""محمدمهدی رحمتی""]",1596,علی پاکدامن
الهام حسینی در چه رشته‌ای فعالیت دارد؟,وزنه‌برداری,وزنه‌برداری,1.0,1,1,"[""وزنه‌برداری"", ""فوتبال"", ""کاراته""]","[1.0, 0.2, 0.0]","[""الهام حسینی"", ""ایمان انصاری"", ""الهام هاشمی""]",268,الهام حسینی
رضا مؤمنی در کدام شهر متولد شده است؟,قائمشهر,قائمشهر,1.0,1,1,"[""قائمشهر"", ""تهران"", ""مشهد""]","[1.0, 0.333333, 0.0]","[""رضا مؤمنی"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد"", ""مصطفی مکری""]",996,رضا مؤمنی
رضا نوروزی در چه شهری متولد شده است؟,ایذه,ایذه,1.0,1,1,"[""ایذه"", ""تهران"", ""اهواز""]","[1.0, 0.25, 0.0]","[""رضا نوروزی"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد"", ""جواد نوروزی""]",1004,رضا نوروزی
مجید ترکان ورزشکار کدام رشته است؟,کشتی,کشتی,1.5833333333333333,1,1,"[""کشتی"", ""فوتبال"", ""والیبال""]","[1.583333, 0.5, 0.2]","[""مجید ترکان"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد"", ""اکبر ترکان""]",1974,مجید ترکان
ایوان مارکوویچ هافبک ذوب‌آهن در فوتبال فعالیت خود را با چه تیمی آغاز کرد؟,ستاره سرخ بلگراد,ستاره سرخ بلگراد,1.0,1,1,"[""ستاره سرخ بلگراد"", ""دینامو زاگرب"", ""بایرن مونیخ""]","[1.0, 0.0, 0.0]","[""ایوان مارکوویچ"", ""مهدی تاج"", ""نادر دست‌نشان""]",453,ایوان مارکوویچ
گلنوش خسروی در کدام شهر به متولد شده است؟,اصفهان,اصفهان,1.25,1,1,"[""اصفهان"", ""تهران"", ""ارومیه""]","[1.25, 0.7, 0.0]","[""گلنوش خسروی"", ""مصطفی مکری"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد""]",3043,گلنوش خسروی
فرنوش شیخی در کدام رشته ورزشی فعالیت دارد؟,والیبال,والیبال,1.0,1,1,"[""والیبال"", ""فوتبال"", ""کشتی""]","[1.0, 0.95, 0.333333]","[""فرنوش شیخی"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد"", ""ایمان انصاری""]",1802,فرنوش شیخی
سارا شیربیگی ورزشکار کدام رشته است؟,فوتسال,فوتسال,1.0,1,1,"[""فوتسال"", ""فوتبال"", ""کشتی""]","[1.0, 0.783333, 0.5]","[""سارا شیربیگی"", ""ایمان انصاری"", ""مصطفی مکری""]",1083,سارا شیربیگی
هاجر صفرزاده در کدام رقابت مدال گرفته است؟,پارالمپیک پاریس ۲۰۲۴,پارالمپیک پاریس ۲۰۲۴,1.0,1,1,"[""پارالمپیک پاریس ۲۰۲۴"", ""المپیک ریو ۲۰۱۶"", ""بازی‌های آسیایی ۲۰۱۸""]","[1.0, 0.0, 0.0]","[""هاجر صفرزاده"", ""ایمان انصاری"", ""علیرضا لرستانی""]",2750,هاجر صفرزاده
مهدی تیکدری سالاری در کدام رشته فعال است؟,فوتبال,فوتبال,1.7833333333333332,1,1,"[""فوتبال"", ""کشتی"", ""والیبال""]","[1.783333, 0.5, 0.0]","[""مهدی تیکدری"", ""ایمان انصاری"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد""]",2461,مهدی تیکدری
شجاع خلیل‌زاده در کدام تیم‌ها بازی کرده است؟,پرسپولیس و الریان,پرسپولیس و الریان,0.0,1,1,"[""پرسپولیس و الریان"", ""سپاهان و استقلال"", ""ذوب‌آهن و ملوان""]","[0.0, 0.0, 0.0]","[""شجاع خلیل‌زاده"", ""ایمان انصاری"", ""علیرضا لرستانی""]",1345,شجاع خلیل‌زاده
مهدی خدابخشی در چه رشته‌ای فعالیت دارد؟,رزمی,فوتبال,1.0833333333333333,0,1,"[""فوتبال"", ""رزمی"", ""کشتی""]","[1.083333, 1.0, 0.0]","[""مهدی خدابخشی"", ""محمدحسین جعفری"", ""مصطفی مکری""]",2470,مهدی خدابخشی
علی دایی در کدام تیم‌های اروپایی بازی کرده است؟,بایرن مونیخ و هرتابرلین,بایرن مونیخ و هرتابرلین,0.0,1,1,"[""بایرن مونیخ و هرتابرلین"", ""رئال مادرید و بارسلونا"", ""آژاکس و پی‌اس‌وی""]","[0.0, 0.0, 0.0]","[""علی دایی"", ""ایمان انصاری"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد""]",1535,علی دایی
عباس زندی در کدام رشته ورزشی مدال‌های متعددی کسب کرده است؟,کشتی,کشتی,1.7,1,1,"[""کشتی"", ""فوتبال"", ""والیبال""]","[1.7, 0.333333, 0.0]","[""عباس زندی"", ""ایمان انصاری"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد""]",1446,عباس زندی
عزت‌الله اکبری در چه سالی متولد شده است؟,۱۳۷۱,۱۳۷۱,1.0,1,1,"[""۱۳۷۱"", ""۱۳۶۱"", ""۱۳۵۱""]","[1.0, 0.0, 0.0]","[""عزت‌الله اکبری"", ""ایمان انصاری"", ""سعید عزت‌اللهی""]",1482,عزت‌الله اکبری
قد میربابک موسوی، ورزشکار والیبال چند است؟,۱٫۹۴,۱٫۹۴,1.0,1,1,"[""۱٫۹۴"", ""۱٫۸۸"", ""۲٫۰۰""]","[1.0, 0.0, 0.0]","[""میربابک موسوی"", ""ایمان انصاری"", ""محمد موسوی""]",2610,میربابک موسوی
کریم انصاری‌فرد در کدام کشور متولد شده است؟,ایران,ایران,2.283333333333333,1,1,"[""ایران"", ""ترکیه"", ""آلمان""]","[2.283333, 0.0, 0.0]","[""کریم انصاری‌فرد"", ""ایمان انصاری"", ""محمدحسن انصاری‌فرد""]",2990,کریم انصاری‌فرد
